timestamp,config,experiment_group,experiment_name,model,input_style,split_strategy,architecture,max_length,learning_rate,output_dir,val_accuracy,val_macro_f1,val_micro_f1,val_auprc,test_accuracy,test_macro_f1,test_micro_f1,test_auprc,note,elapsed_sec
2026-05-20 16:27:20,C:\Users\gyr\Downloads\NaverBoostcamp-KLUE-RE-competition-main\NaverBoostcamp-KLUE-RE-competition-main\configs\split_random.yaml,split,random_split,klue/roberta-base,entity_marker,random,sequence_classification,256,2e-5,outputs/split_random,80.65906991068678,58.69593752970735,82.02586206896552,70.55938199870933,71.84803605924019,46.2237372314565,56.830427892234546,59.514368053800126,random train/val split,561.51
2026-05-20 16:43:40,C:\Users\gyr\Downloads\NaverBoostcamp-KLUE-RE-competition-main\NaverBoostcamp-KLUE-RE-competition-main\configs\split_random.yaml,split,random_split,klue/roberta-base,entity_marker,random,sequence_classification,256,2e-5,outputs/split_random,80.93624884508777,65.47354572348968,82.46062154108131,73.38958270942143,72.37604636188023,52.086280785527926,58.75288683602772,62.33191274039985,random train/val split,569.34
2026-05-20 16:53:05,C:\Users\gyr\Downloads\NaverBoostcamp-KLUE-RE-competition-main\NaverBoostcamp-KLUE-RE-competition-main\configs\split_stratified.yaml,split,label_stratified_split,klue/roberta-base,entity_marker,label_stratified,sequence_classification,256,2e-5,outputs/split_stratified,80.874653526332,66.73634087536577,82.06764518187619,75.74593404175941,73.3290405666452,54.508036631908574,60.39239730226855,62.57338124840478,label stratified train/val split,561.35
2026-05-20 17:02:26,C:\Users\gyr\Downloads\NaverBoostcamp-KLUE-RE-competition-main\NaverBoostcamp-KLUE-RE-competition-main\configs\split_detailed_stratified.yaml,split,detailed_stratified_split,klue/roberta-base,entity_marker,detailed_stratified,sequence_classification,256,2e-5,outputs/split_detailed_stratified,80.47428395441946,67.93224040087249,81.82784272051009,75.91901316511934,73.86992916934965,54.3016118325563,61.283389622351855,62.67469345228813,label-subject_type-object_type stratified split,557.97
2026-05-20 17:12:18,C:\Users\gyr\Downloads\NaverBoostcamp-KLUE-RE-competition-main\NaverBoostcamp-KLUE-RE-competition-main\configs\preprocess_prompt_s_sep_o.yaml,preprocess,preprocess_prompt_s_sep_o,klue/roberta-base,s_sep_o,detailed_stratified,sequence_classification,256,2e-5,outputs/preprocess_prompt_s_sep_o,80.68986757006468,61.711285731618545,81.95887216451135,74.96274753736742,73.947198969736,48.59965608603284,62.306156916935365,63.286992109261355,subject SEP object SEP sentence prompt,581.74
2026-05-20 17:22:07,C:\Users\gyr\Downloads\NaverBoostcamp-KLUE-RE-competition-main\NaverBoostcamp-KLUE-RE-competition-main\configs\preprocess_prompt_s_and_o.yaml,preprocess,preprocess_prompt_s_and_o,klue/roberta-base,s_and_o,detailed_stratified,sequence_classification,256,2e-5,outputs/preprocess_prompt_s_and_o,81.5829996920234,65.93036089656637,82.84982935153583,76.27983895819858,75.82743077913715,57.00474947254126,65.30674846625767,66.31198949225876,subject and object relation prompt,585.55
2026-05-20 17:32:09,C:\Users\gyr\Downloads\NaverBoostcamp-KLUE-RE-competition-main\NaverBoostcamp-KLUE-RE-competition-main\configs\preprocess_prompt_question.yaml,preprocess,preprocess_prompt_question,klue/roberta-base,question,detailed_stratified,sequence_classification,256,2e-5,outputs/preprocess_prompt_question,81.33661841700031,66.81652881834098,82.48563524154076,75.7662842128126,75.38956857694784,58.35321699819388,65.47044632086852,67.13077291338158,question style prompt,597.76
2026-05-20 17:43:33,C:\Users\gyr\Downloads\NaverBoostcamp-KLUE-RE-competition-main\NaverBoostcamp-KLUE-RE-competition-main\configs\preprocess_prompt_type_prompt.yaml,preprocess,preprocess_prompt_type_prompt,klue/roberta-base,type_prompt,detailed_stratified,sequence_classification,256,2e-5,outputs/preprocess_prompt_type_prompt,74.3455497382199,51.18762586183387,75.31860662701784,60.47233345212414,58.00386349001931,31.525771147786674,40.719640179910044,38.5460311653471,subject/object entity type prompt without gold relation label leakage,680.67
2026-05-20 17:53:08,C:\Users\gyr\Downloads\NaverBoostcamp-KLUE-RE-competition-main\NaverBoostcamp-KLUE-RE-competition-main\configs\preprocess_entity_marker.yaml,preprocess,preprocess_entity_marker,klue/roberta-base,entity_marker,detailed_stratified,sequence_classification,256,2e-5,outputs/preprocess_entity_marker,81.05943948259933,67.13630363499556,82.14742224115894,74.32471828192935,72.90405666452028,52.68884146226526,59.06656465187452,59.59909994888331,basic entity marker,571.35
2026-05-20 18:02:59,C:\Users\gyr\Downloads\NaverBoostcamp-KLUE-RE-competition-main\NaverBoostcamp-KLUE-RE-competition-main\configs\preprocess_entity_marker_punct.yaml,preprocess,preprocess_entity_marker_punct,klue/roberta-base,entity_marker_punct,detailed_stratified,sequence_classification,256,2e-5,outputs/preprocess_entity_marker_punct,82.04496458269172,67.81721115572363,83.80790480237994,79.36769436787469,74.50096587250484,56.90636320613379,64.68578220175309,67.15028597640871,punctuation entity marker,587.37
