timestamp,experiment_group,experiment_name,model,input_style,split_strategy,architecture,max_length,learning_rate,val_accuracy,val_macro_f1,val_micro_f1,val_auprc,test_accuracy,test_macro_f1,test_micro_f1,test_auprc,note,threshold,temperature,config,per_device_train_batch_size,gradient_accumulation_steps,per_device_eval_batch_size,output_dir,elapsed_sec
2026-05-21 15:05:44,improvement,improvement_threshold_tuning,klue/roberta-large,typed_entity_marker_punct_question,detailed_stratified,entity_start,256,3e-05,84.60117031105636,80.23343185598526,86.88268156424581,84.3773258820678,81.4938828074694,70.73204830247349,72.75820997107367,77.25044454604252,Best relation threshold on val: 0.75,0.75,,,,,,,
2026-05-21 15:05:44,improvement,improvement_temperature_calibration,klue/roberta-large,typed_entity_marker_punct_question,detailed_stratified,entity_start,256,3e-5,84.32399137665537,78.77725276262528,86.01549053356283,83.27766178877913,81.12041210560206,71.15843942654786,73.02538231120921,77.66123395854727,Best temperature on val NLL: 1.6,,1.6,,,,,,
2026-05-21 15:23:11,improvement,improvement_weighted_ce,klue/roberta-large,typed_entity_marker_punct_question,detailed_stratified,entity_start,256,3e-5,81.21342777948875,76.48525323336624,84.39845810509232,83.83612758548787,73.13586606567934,66.35537005562064,67.94490953281124,76.9728336379681,Weighted Cross Entropy with final input format and entity_start architecture,,,configs/improvement_weighted_ce_roberta_large.yaml,8,8,16,outputs/improvement_weighted_ce_roberta_large_entity_start,2292.1
