experiment_name,model,val_micro_f1,test_micro_f1,test_auprc,elapsed_min,efficiency
model_roberta_large,klue/roberta-large,86.0051993067591,72.44042728019721,78.97126544264876,37.19949999999999,1.947349488036055
model_roberta_base,klue/roberta-base,85.3946813,67.6047721,73.30548999,31.954666666666665,2.115646293707753
model_bert_base,klue/bert-base,84.76170121820901,66.93839159742906,72.18899847858383,17.55933333333333,3.8121260258986145
model_luke_large,studio-ousia/luke-large,73.40639677924402,45.23255813953489,30.921298162342364,47.755833333333335,0.9471629952264446
