timestamp,config,experiment_group,experiment_name,model,input_style,split_strategy,architecture,max_length,learning_rate,output_dir,val_accuracy,val_macro_f1,val_micro_f1,val_auprc,test_accuracy,test_macro_f1,test_micro_f1,test_auprc,note,elapsed_sec,per_device_train_batch_size,gradient_accumulation_steps,per_device_eval_batch_size,_source_csv
2026-05-21 06:02:09,configs/architecture_cls.yaml,architecture,architecture_cls,klue/roberta-large,typed_entity_marker_punct_question,detailed_stratified,cls,256,3e-05,outputs/architecture_cls,84.75515860794579,79.07011889690679,86.22394154309048,84.83921576032107,80.28332260141661,70.24543520414822,71.41479099678456,76.92341053669539,CLS classification baseline with typed_entity_marker_punct_question,1501.93,8.0,8.0,16.0,architecture_cls.csv
2026-05-21 06:27:03,configs/model_roberta_large.yaml,model,model_roberta_large,klue/roberta-large,typed_entity_marker_punct_question,detailed_stratified,entity_start,256,3e-05,outputs/model_roberta_large_entity_start,84.29319371727748,78.66524379466333,86.0051993067591,84.76515882252563,81.23631680618159,72.34471855826894,72.44042728019721,78.97126544264876,Reuse architecture roberta-large result when available / displayed as entity_start for final model comparison,2231.97,8.0,8.0,16.0,model_roberta_large.csv
2026-05-20 19:30:51,C:\Users\gyr\Downloads\NaverBoostcamp-KLUE-RE-competition-main\NaverBoostcamp-KLUE-RE-competition-main\configs\preprocess_typed_entity_marker_punct_s_and_o.yaml,preprocess,preprocess_typed_entity_marker_punct_s_and_o,klue/roberta-base,typed_entity_marker_punct_s_and_o,detailed_stratified,sequence_classification,256,2e-05,outputs/preprocess_typed_entity_marker_punct_s_and_o,82.96889436402833,73.5180183440941,84.4340624336377,79.40762023173984,76.43271088216356,62.05057742170689,67.27847149089816,68.55585006081174,typed punctuation entity marker with s_and_o prompt,607.22,,,,
2026-05-20 16:43:40,C:\Users\gyr\Downloads\NaverBoostcamp-KLUE-RE-competition-main\NaverBoostcamp-KLUE-RE-competition-main\configs\split_random.yaml,split,random_split,klue/roberta-base,entity_marker,random,sequence_classification,256,2e-05,outputs/split_random,80.93624884508777,65.47354572348968,82.46062154108131,73.38958270942143,72.37604636188023,52.086280785527926,58.75288683602772,62.33191274039985,random train/val split,569.34,,,,
