temperature,val_nll,val_micro_f1,val_macro_f1,val_accuracy,test_micro_f1,test_macro_f1,test_accuracy,test_auprc
1.0,0.6740116477012634,86.01549053356283,78.77725276262528,84.32399137665537,73.02538231120921,71.15843942654786,81.12041210560206,77.25044454604252
1.2,0.5898014903068542,86.01549053356283,78.77725276262528,84.32399137665537,73.02538231120921,71.15843942654786,81.12041210560206,77.31141262258193
1.4,0.5419309139251709,86.01549053356283,78.77725276262528,84.32399137665537,73.02538231120921,71.15843942654786,81.12041210560206,77.50740851036066
1.6,0.5217921733856201,86.01549053356283,78.77725276262528,84.32399137665537,73.02538231120921,71.15843942654786,81.12041210560206,77.66123395854727
1.8,0.5248467326164246,86.01549053356283,78.77725276262528,84.32399137665537,73.02538231120921,71.15843942654786,81.12041210560206,77.59263424697359
2.0,0.5478304028511047,86.01549053356283,78.77725276262528,84.32399137665537,73.02538231120921,71.15843942654786,81.12041210560206,77.49623777953404
2.2,0.5876550674438477,86.01549053356283,78.77725276262528,84.32399137665537,73.02538231120921,71.15843942654786,81.12041210560206,77.50007409108645
2.4,0.6411277651786804,86.01549053356283,78.77725276262528,84.32399137665537,73.02538231120921,71.15843942654786,81.12041210560206,77.49317959428733
2.6,0.7050373554229736,86.01549053356283,78.77725276262528,84.32399137665537,73.02538231120921,71.15843942654786,81.12041210560206,77.2905712040584
2.8,0.776348888874054,86.01549053356283,78.77725276262528,84.32399137665537,73.02538231120921,71.15843942654786,81.12041210560206,77.30162666648279
3.0,0.8523733615875244,86.01549053356283,78.77725276262528,84.32399137665537,73.02538231120921,71.15843942654786,81.12041210560206,77.21142750264387
