threshold,val_micro_f1,val_macro_f1,val_accuracy,test_micro_f1,test_macro_f1,test_accuracy,test_auprc
0.5,86.21510495563732,78.72763461092774,84.41638435478903,73.2196909351601,71.43459104758801,81.3650998068255,77.25044454604252
0.55,86.44880174291939,79.03884271921793,84.53957499230059,73.40219496449322,71.44553363177867,81.53251770766259,77.25044454604252
0.6,86.65936473165388,79.88737139755311,84.69356328919002,73.27121137812654,71.39119871090752,81.4938828074694,77.25044454604252
0.65,86.69017188188629,79.83360052581277,84.60117031105636,73.15458457464416,71.1521884373743,81.53251770766259,77.25044454604252
0.7,86.86958453676961,80.36848799100402,84.69356328919002,73.09048178613396,70.75314693348051,81.58403090792015,77.25044454604252
0.75,86.88268156424581,80.23343185598526,84.60117031105636,72.75820997107367,70.73204830247349,81.4938828074694,77.25044454604252
0.8,86.78820616700428,79.52753812414393,84.29319371727748,72.39348804987877,69.81310502714688,81.40373470701867,77.25044454604252
0.85,86.35021576198046,79.37309829086054,83.73883584847552,71.73413470037121,69.08114309932613,81.24919510624598,77.25044454604252
0.9,86.10153916838962,78.43988609049461,83.33846627656298,70.23874612720977,67.42867462721576,80.6052801030264,77.25044454604252
